showName,url,success
14《.圆明园的毁灭》课件.ppt,dmres/1/7d98def1cb6de315434c3933f9f8b7bc.ppt,true
15.浮和沉  微课.mp4,dmres/1/b2648973ee232f710731074d0f820714.mp4,true
15.浮和沉.pptx,dmres/1/ea911799d7e47a7327be1f684331008a.pptx,true
17.壶口瀑布三讲.pptx,dmres/1/9e1b38a25a86177080ba642ae1d8c16a.pptx,true
21.大自然的声音（第1课时）.docx,dmres/1/468597bcd67464cc87154c992442547c.docx,true
2_数智技术赋能的教与学方式变革.docx,dmres/1/ce750e5b61b52997c68f1aa37bd2343f.docx,true
48ba2e4bd9605cae5e5569f92a30cf1d.mp4,dmres/1/06ad7b5f76d91f01ca98b1b8355e5a77.mp4,true
6文件入口说明.png,dmres/1/3ba8b4e34bc53d3c6aa32722c4a50791.png,true
6月16日.mp4,dmres/1/a8b2c7f35441c0789895412d7b0cc946.mp4,true
dmkj-_20230630.xlog,dmres/1/9db227434108acf1b33a8e1c746c0203.xlog,true
Lesson17 I Like All Seasons! 教学设计.docx,dmres/1/837a3145528bc48971ee5839c674ecfd.docx,true
Lesson17 I Like All Seasons!课件.pptx,dmres/1/39237399137ac903acd4e82708f91bbc.pptx,true
Unit 4 At the Farm Part B Let's learn.docx,dmres/1/753af1084dd65994bf2861b5bd47cadb.docx,true
Unit 4 At the Farm Part B Let's learn.mp4,dmres/1/ecda602fce3715e6b2cbbf79ec938653.mp4,true
Unit2 时间表达法 课件   2022-2023学年人教版英语七年级下册(2).pptx,dmres/1/25be6cafd81b4ae8a6260f764c60fb3e.pptx,true
“双减”下对小学语文作业设计的几点研究.docx,dmres/1/acd496d0297432c3e0e75150589c8c42.docx,true
“双减”背景下的英语作业---英语手抄报.docx,dmres/1/9d19b695d192ab81edaf975dbd05cf64.docx,true
“双减”背景下，“减负增效”如何融合于小学语文教学.doc,dmres/1/3175984ecdf8e1f91990051998ed329d.doc,true
《2.1声音的产生与传播》李子阳 其他教学资料.rar,dmres/1/4bd2f380ac12c6853438ecfd36a62c42.rar,true
《2.1声音的产生与传播》李子阳 导学案.doc,dmres/1/d12c29051df35a1cb701ee5b5354fde4.doc,true
《2.1声音的产生与传播》李子阳 教学设计.docx,dmres/1/0fe4e05bb044fd3380c525903d350d68.docx,true
《2.1声音的产生与传播》李子阳 课件.pptx,dmres/1/e161e201b93f4a05e25a7e32056cc839.pptx,true
《2.1声音的产生与传播》李子阳 课堂实录.mp4,dmres/1/4af153411118c8d628f53fc4b7e87b32.mp4,true
《关雎》教学设计.docx,dmres/1/8a56d696fee380bd872fd1ae301867bb.docx,true
《关雎》讲课课件.pptx,dmres/1/8470f245906a4bffc96efaa9bc51a4ef.pptx,true
《凡卡》的课件.rar,dmres/1/81bdcebd10fe43b91d7f3f9806972bb6.rar,true
《圆明园的毁灭》第二课时教学设计模板.docx,dmres/1/e539a9b6c36e6baf83f4a553241193d9.docx,true
《好饿的小蛇》_打包文件.ndpx,dmres/1/fd44bd3cd666164585999fffffff0c85.ndpx,true
《孙权劝学》.mp4,dmres/1/9d76556c8d93b1b9aa8ef07fed27d283.mp4,true
《小数加减法》教学设计.docx,dmres/1/7890054f0ca1f0a087a9703213cb05ba.docx,true
《循环小数》微课.mp4,dmres/1/fd4ec49543436591f37cd5c5ed948fc9.mp4,true
《循环小数》教学设计.docx,dmres/1/c3c07cb5a56dc3ebb1adf7259ed26f1f.docx,true
《植物妈妈有办法》.mp4,dmres/1/178b223e5cc0c1dc74554bfd7260b916.mp4,true
《植物妈妈有办法》课件.pptx,dmres/1/920d701c7829194f504d7b06ecd8234e.pptx,true
《献给母亲的礼物》.pptx,dmres/1/86c0fde46f7b05cfebb3f98e1e70c07a.pptx,true
《蝙蝠和雷达》教学设计 (1).docx,dmres/1/4712e1752ef52a050326d2154f976476.docx,true
《角的初步认识》教学设计.doc,dmres/1/90683b27b34395d178a417aec692c4f6.doc,true
《角的初步认识》课件.ppt,dmres/1/6e1649a7061dea4480133ea9cf3194c5.ppt,true
七律·长征周生子.pptx,dmres/1/92ad7a950e39721a24044a5d852b516a.pptx,true
三角形内角和微课.mp4,dmres/1/d9bb73d545bdaca0cf170c0b7806b3a1.mp4,true
三角形内角和教学设计模板.docx,dmres/1/f45b29bc9f325ab527fd0e17fce3cc2f.docx,true
三角形的分类 裴学伟.enbx,dmres/1/076ded363c772dcc8bfa478883edecff.enbx,true
三角形的分类.rar,dmres/1/39bb36a6f2322100ac6a4121670e6762.rar,true
乐高视频.mp4,dmres/1/af03df52d5945ed87685d290d1bf8907.mp4,true
京剧《卖水》教学设计.docx,dmres/1/ca6719279ba4ccb9c49b03e9a12b661b.docx,true
京剧《卖水》教学课件.pptx,dmres/1/2f9d0f44e981f38570def223fac739fc.pptx,true
人教版初中英语Unit 4 Will people have robots固安四中杨月华教学设计.docx,dmres/1/a2152974fe7c16397e96682214ef5ea3.docx,true
人教版初中英语Unit 4 Will people have robots固安四中杨月华教学课件.pptx,dmres/1/93116849731f4bbdaeb6b0dca4bf081c.pptx,true
倍数与因数.pptx,dmres/1/8349453a865acf19e0f3f16deb55fdb4.pptx,true
做永创新高的好老师.docx,dmres/1/c9bd3c54c3d7c274dc79b27020c11918.docx,true
分数的初步认识4.pptx,dmres/1/c1b86e4b76e21adc981366f11e32c0c3.pptx,true
分数的初步认识教学设计.docx,dmres/1/dc8c85004f0b4a3f1df26af083a32cb2.docx,true
分数的基本性质    教学设计.docx,dmres/1/812d1412bbc03f557ed3a540182ccce2.docx,true
分数的基本性质   张倩.enbx,dmres/1/210a2adf54d5e72328ea18e199dcc102.enbx,true
别古庄镇中心校李占红《双减背景下小学语文课堂教学之美》.docx,dmres/1/5bbf7b49f1874b7d164b74736dd748b4.docx,true
勤俭节约 传承美德.pptx,dmres/1/d59a73c99ae2ee755f5d340a9875893f.pptx,true
勤俭节约传承美德.docx,dmres/1/660b63c2e27ef5bf76ae7b18e831a1f8.docx,true
双减背景下如何提升初中英语单元整体教学.docx,dmres/1/67f44ae196ab20b1edc5802f94f38e52.docx,true
双减背景下小学数学个性化作业设计的实践与探索(裴学伟)doc.doc,dmres/1/ab513e1ce3e889b0ea80ad30cf02a851.doc,true
双减背景下高中地理实践性作业之自制学具的相关研究.doc,dmres/1/3a5a0655f85ab0748756060efcca4143.doc,true
圆明园的毁灭 教学设计.doc,dmres/1/f25ed792ed636b835c9b5bcb8e9c3150.doc,true
基于新课标下的小学美术课堂纪律管理.docx,dmres/1/de2eae3608b12d30f103021585eaf693.docx,true
多边形内角和教学设计.docx,dmres/1/a17e4866504c199a74c67717bba60f7c.docx,true
多边形内角和视频.mp4,dmres/1/a89825d22d75c3f89256aa6a623e3750.mp4,true
多边形内角和课件.pptx,dmres/1/60fe4a1b119a92e1a0b54741a0d01ed8.pptx,true
