AppId,AppName,AppImg
105,学习通知,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/fd0b55f65bc8c205ccd81d1e5b28e35a.png
102,活动,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/fd04c123e7c19fcf398a92c2a74b19eb.png
148,资源审核系统,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/fcf3e1a873e49788ad490d2e1bf3e3fd.png
107,课本点读,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/f78fbf9a237bdac0899aeb5e970abb0f.png
222,趣味学习-教育局,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/f60ad1f8e6c71cd60d8e8d341ffe2a65.png
106,课堂工具,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/f5789d38d77d6e70c3e357fcefedf836.png
247,华夏汉字,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/f38420fde04dea2a9a5f7092af77c993.png
131,快拍错题,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/f27fe4a98b55230b6cc6c8f1a4a33090.png
100,才艺秀,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/f1706164acc89bbda86c9a3f1481bf5c.png
243,讨论空间,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/e9e0aa0efcd946d2b1513faed528e633.png
127,直播中心,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/e9d50af1ed16f72df31a1f34bf494c8f.png
108,资源中心,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/e1035c80ffab2ad53bd1ea3fbb7292be.png
125,学情分析,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/dd8e69290aeb959fbf288f669ac19dc0.png
228,乐教乐学云平台应用-师训,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/dd0709bb1c1f642aca381348fc8d9009.jpg
128,通知,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/dc165e02a9bf936811b8c02aaff5dbe4.png
117,校园风采,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/dbbbcd3107d61e8793a794d010430c89.png
249,协同备课,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/d38bcd6f19be89b7feaec936ae9c5fa8.png
244,乐学阅读,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/cfaceb100f3d16d8bff6871e130b6705.png
121,班级管理,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/c94392ecdc2afcd2428c5e341af5d4c4.png
119,成绩管理,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/c186b0975f0abffb193d52b9db3e12c3.png
238,素质评价,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/bb072c52ac9684a24c3d243388bca7de.png
123,课程表,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/b321cc6cfc3de9c5986d2a67a7bf6431.png
126,打卡,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/b0d8163f5e9e3ce2f657c3273675570b.png
239,乐题库,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/aa4c7008d0ffca543078f5e768dcef95.png
134,华夏诗魂,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/a885cf7889d5e13ee21df797df1a809f.png
124,数据统计,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/a7dfb21aae1e5896b908fe6db71f08cc.png
104,博客,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/9aa6db6ceb76a030cb6db15c90e53387.png
132,在线考试,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/976dde145f803509e307cd5456e49f7f.png
129,备课管理,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/8260bdb1430bc9b27819c5ebb4495cd2.png
241,网络阅卷,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/7bbee64a88667b2fa810530f8872f9fa.png
248,公文,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/78eb8304a4b4d66ce2dc71dc7783def2.png
150,录取信息查询,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/786c65617cc20e8e879c34bf6b09ed51.png
151,素质评价查询,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/786c65617cc20e8e879c34bf6b09ed51.png
153,录取信息查询,https://fileimosscdn.lejiaolexue.com/eduyun/app_icons/786c65617cc20e8e879c34bf6b09ed51.png
